FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,url,past_fights
Tom Aaron,--,155 lbs.,--,,"Jul 13, 1978",http://ufcstats.com/fighter-details/93fe7332d16c6ad9,"[{'wl': 'loss', 'opponent': 'Matt Ricehouse', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Eric Steenberg', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:56'}]"
Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",http://ufcstats.com/fighter-details/15df64c02b6b0fde,"[{'wl': 'loss', 'opponent': 'Jorge Gurgel', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Kalib Starnes', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '2:56'}]"
David Abbott,"6' 0""",265 lbs.,--,Switch,--,http://ufcstats.com/fighter-details/b361180739bed4b0,"[{'wl': 'loss', 'opponent': 'Kevin Ferguson', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:43'}, {'wl': 'loss', 'opponent': 'Paul Buentello', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:43'}, {'wl': 'loss', 'opponent': 'Hidehiko Yoshida', 'method': 'SUB\n \n \n\n Gi Choke', 'round': '1', 'time': '7:40'}, {'wl': 'loss', 'opponent': 'Wesley Correira', 'method': 'KO/TKO', 'round': '1', 'time': '2:14'}, {'wl': 'loss', 'opponent': 'Kimo Leopoldo', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '1', 'time': '1:59'}, {'wl': 'loss', 'opponent': 'Frank Mir', 'method': 'SUB\n \n \n\n Toe Hold', 'round': '1', 'time': '0:46'}, {'wl': 'loss', 'opponent': 'Pedro Rizzo', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '8:07'}, {'wl': 'win', 'opponent': 'Hugo Duarte', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:43'}, {'wl': 'win', 'opponent': 'Yoji Anjo', 'method': 'U-DEC', 'round': '2', 'time': '3:00'}, {'wl': 'loss', 'opponent': 'Maurice Smith', 'method': 'SUB\n \n \n\n Other', 'round': '1', 'time': '8:08'}, {'wl': 'loss', 'opponent': 'Vitor Belfort', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:52'}, {'wl': 'loss', 'opponent': 'Don Frye', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:22'}, {'wl': 'win', 'opponent': 'Steve Nelmark', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:03'}, {'wl': 'win', 'opponent': 'Cal Worsham', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:51'}, {'wl': 'loss', 'opponent': 'Scott Ferrozzo', 'method': 'U-DEC', 'round': '2', 'time': '3:00'}, {'wl': 'win', 'opponent': 'Sam Adkins', 'method': 'SUB\n \n \n\n Forearm Choke', 'round': '1', 'time': '2:06'}, {'wl': 'loss', 'opponent': 'Dan Severn', 'method': 'U-DEC', 'round': '1', 'time': '18:00'}, {'wl': 'win', 'opponent': 'Steve Jennum', 'method': 'SUB\n \n \n\n Neck Crank', 'round': '1', 'time': '1:14'}, {'wl': 'loss', 'opponent': 'Oleg Taktarov', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '17:45'}, {'wl': 'win', 'opponent': 'Paul Varelans', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:53'}, {'wl': 'win', 'opponent': 'John Matua', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:20'}]"
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,"[{'wl': 'loss', 'opponent': 'Jailton Almeida', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '2:56'}, {'wl': 'loss', 'opponent': 'Sergei Pavlovich', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:03'}, {'wl': 'loss', 'opponent': 'Chris Daukaus', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '1:23'}, {'wl': 'loss', 'opponent': 'Curtis Blaydes', 'method': 'KO/TKO\n \n \n\n Elbow', 'round': '2', 'time': '2:22'}, {'wl': 'win', 'opponent': 'Marcin Tybura', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '3:15'}, {'wl': 'win', 'opponent': 'Andrei Arlovski', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Chase Sherman', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:24'}, {'wl': 'loss', 'opponent': 'Derrick Lewis', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '4', 'time': '3:42'}, {'wl': 'win', 'opponent': 'Walt Harris', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Anthony Hamilton', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Timothy Johnson', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:57'}]"
Hiroyuki Abe,"5' 6""",145 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/c0ed7b208197e8de,"[{'wl': 'draw', 'opponent': 'Naoki Matsushita', 'method': 'Other', 'round': '2', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Luiz Firmino', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '1', 'time': '2:52'}]"
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",http://ufcstats.com/fighter-details/5140122c3eecd307,"[{'wl': 'loss', 'opponent': 'Li Jingliang', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Luke Jumeau', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Hyun Gyu Lim', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Papy Abedi,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",http://ufcstats.com/fighter-details/c9f6385af6df66d7,"[{'wl': 'loss', 'opponent': 'Dylan Andrews', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '1:32'}, {'wl': 'win', 'opponent': 'Besam Yousef', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'James Head', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '4:33'}, {'wl': 'loss', 'opponent': 'Thiago Alves', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:32'}]"
Ricardo Abreu,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,"[{'wl': 'loss', 'opponent': 'Jake Collier', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Wagner Silva', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '1:06'}]"
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",http://ufcstats.com/fighter-details/7279654c7674cd24,"[{'wl': 'nc', 'opponent': 'Jamahal Hill', 'method': 'Overturned\n \n \n\n Knee', 'round': '1', 'time': '1:51'}, {'wl': 'loss', 'opponent': 'Shamil Gamzatov', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Sam Alvey', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Magomed Ankalaev', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Daniel Acacio,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",http://ufcstats.com/fighter-details/1c5879330d42255f,"[{'wl': 'loss', 'opponent': 'Rousimar Palhares', 'method': 'SUB\n \n \n\n Heel Hook', 'round': '1', 'time': '1:22'}, {'wl': 'loss', 'opponent': 'Akihiro Gono', 'method': 'U-DEC', 'round': '2', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Kazuo Misaki', 'method': 'U-DEC', 'round': '2', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Daiju Takase', 'method': 'KO/TKO', 'round': '2', 'time': '3:34'}]"
