fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg,past_fights
Tom Aaron,,1.0,2.0,178.0,SUB Guillotine Choke,,155.0,,70.31,"[{'wl': 'loss', 'opponent': 'Matt Ricehouse', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Eric Steenberg', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:56'}]"
Danny Abbadi,Orthodox,0.0,2.0,238.0,S-DEC,71.0,155.0,1.8,70.31,"[{'wl': 'loss', 'opponent': 'Jorge Gurgel', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Kalib Starnes', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '2:56'}]"
David Abbott,Switch,0.6153846153846154,1.0952380952380951,241.0,KO/TKO Punches,72.0,265.0,1.83,120.2,"[{'wl': 'loss', 'opponent': 'Kevin Ferguson', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:43'}, {'wl': 'loss', 'opponent': 'Paul Buentello', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:43'}, {'wl': 'loss', 'opponent': 'Hidehiko Yoshida', 'method': 'SUB\n \n \n\n Gi Choke', 'round': '1', 'time': '7:40'}, {'wl': 'loss', 'opponent': 'Wesley Correira', 'method': 'KO/TKO', 'round': '1', 'time': '2:14'}, {'wl': 'loss', 'opponent': 'Kimo Leopoldo', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '1', 'time': '1:59'}, {'wl': 'loss', 'opponent': 'Frank Mir', 'method': 'SUB\n \n \n\n Toe Hold', 'round': '1', 'time': '0:46'}, {'wl': 'loss', 'opponent': 'Pedro Rizzo', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '8:07'}, {'wl': 'win', 'opponent': 'Hugo Duarte', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:43'}, {'wl': 'win', 'opponent': 'Yoji Anjo', 'method': 'U-DEC', 'round': '2', 'time': '3:00'}, {'wl': 'loss', 'opponent': 'Maurice Smith', 'method': 'SUB\n \n \n\n Other', 'round': '1', 'time': '8:08'}, {'wl': 'loss', 'opponent': 'Vitor Belfort', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:52'}, {'wl': 'loss', 'opponent': 'Don Frye', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:22'}, {'wl': 'win', 'opponent': 'Steve Nelmark', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:03'}, {'wl': 'win', 'opponent': 'Cal Worsham', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:51'}, {'wl': 'loss', 'opponent': 'Scott Ferrozzo', 'method': 'U-DEC', 'round': '2', 'time': '3:00'}, {'wl': 'win', 'opponent': 'Sam Adkins', 'method': 'SUB\n \n \n\n Forearm Choke', 'round': '1', 'time': '2:06'}, {'wl': 'loss', 'opponent': 'Dan Severn', 'method': 'U-DEC', 'round': '1', 'time': '18:00'}, {'wl': 'win', 'opponent': 'Steve Jennum', 'method': 'SUB\n \n \n\n Neck Crank', 'round': '1', 'time': '1:14'}, {'wl': 'loss', 'opponent': 'Oleg Taktarov', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '17:45'}, {'wl': 'win', 'opponent': 'Paul Varelans', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:53'}, {'wl': 'win', 'opponent': 'John Matua', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:20'}]"
Shamil Abdurakhimov,Orthodox,0.8333333333333334,2.1818181818181817,212.0,KO/TKO Punches,75.0,235.0,1.91,106.59,"[{'wl': 'loss', 'opponent': 'Jailton Almeida', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '2:56'}, {'wl': 'loss', 'opponent': 'Sergei Pavlovich', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:03'}, {'wl': 'loss', 'opponent': 'Chris Daukaus', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '1:23'}, {'wl': 'loss', 'opponent': 'Curtis Blaydes', 'method': 'KO/TKO\n \n \n\n Elbow', 'round': '2', 'time': '2:22'}, {'wl': 'win', 'opponent': 'Marcin Tybura', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '3:15'}, {'wl': 'win', 'opponent': 'Andrei Arlovski', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Chase Sherman', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:24'}, {'wl': 'loss', 'opponent': 'Derrick Lewis', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '4', 'time': '3:42'}, {'wl': 'win', 'opponent': 'Walt Harris', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Anthony Hamilton', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Timothy Johnson', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:57'}]"
Hiroyuki Abe,Orthodox,0.0,3.0,472.0,SUB Arm Triangle,66.0,145.0,1.68,65.77,"[{'wl': 'draw', 'opponent': 'Naoki Matsushita', 'method': 'Other', 'round': '2', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Luiz Firmino', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '1', 'time': '2:52'}]"
Daichi Abe,Orthodox,0.5,3.0,300.0,U-DEC,71.0,170.0,1.8,77.11,"[{'wl': 'loss', 'opponent': 'Li Jingliang', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Luke Jumeau', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Hyun Gyu Lim', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Papy Abedi,Southpaw,0.3333333333333333,2.0,219.0,SUB Rear Naked Choke,71.0,185.0,1.8,83.91,"[{'wl': 'loss', 'opponent': 'Dylan Andrews', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '1:32'}, {'wl': 'win', 'opponent': 'Besam Yousef', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'James Head', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '4:33'}, {'wl': 'loss', 'opponent': 'Thiago Alves', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:32'}]"
Ricardo Abreu,Orthodox,1.0,2.5,183.0,S-DEC,71.0,185.0,1.8,83.91,"[{'wl': 'loss', 'opponent': 'Jake Collier', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Wagner Silva', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '1:06'}]"
Klidson Abreu,Orthodox,0.5,3.333333333333333,337.0,U-DEC,72.0,205.0,1.83,92.99,"[{'wl': 'nc', 'opponent': 'Jamahal Hill', 'method': 'Overturned\n \n \n\n Knee', 'round': '1', 'time': '1:51'}, {'wl': 'loss', 'opponent': 'Shamil Gamzatov', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Sam Alvey', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Magomed Ankalaev', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Daniel Acacio,Orthodox,1.0,1.75,224.0,U-DEC,68.0,180.0,1.73,81.65,"[{'wl': 'loss', 'opponent': 'Rousimar Palhares', 'method': 'SUB\n \n \n\n Heel Hook', 'round': '1', 'time': '1:22'}, {'wl': 'loss', 'opponent': 'Akihiro Gono', 'method': 'U-DEC', 'round': '2', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Kazuo Misaki', 'method': 'U-DEC', 'round': '2', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Daiju Takase', 'method': 'KO/TKO', 'round': '2', 'time': '3:34'}]"
