fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg
Tom Aaron,,1.0,2.0,178.0,SUB Guillotine Choke,,155.0,,70.31
Danny Abbadi,Orthodox,0.0,2.0,238.0,S-DEC,71.0,155.0,1.8,70.31
David Abbott,Switch,0.6153846153846154,1.0952380952380953,241.0,KO/TKO Punches,72.0,265.0,1.83,120.2
Shamil Abdurakhimov,Orthodox,0.8333333333333334,2.1818181818181817,212.0,KO/TKO Punches,75.0,235.0,1.91,106.59
Hiroyuki Abe,Orthodox,0.0,3.0,472.0,SUB Arm Triangle,66.0,145.0,1.68,65.77
Daichi Abe,Orthodox,0.5,3.0,300.0,U-DEC,71.0,170.0,1.8,77.11
Papy Abedi,Southpaw,0.3333333333333333,2.0,219.0,SUB Rear Naked Choke,71.0,185.0,1.8,83.91
Ricardo Abreu,Orthodox,1.0,2.5,183.0,S-DEC,71.0,185.0,1.8,83.91
Klidson Abreu,Orthodox,0.5,3.3333333333333335,337.0,U-DEC,72.0,205.0,1.83,92.99
Daniel Acacio,Orthodox,1.0,1.75,224.0,U-DEC,68.0,180.0,1.73,81.65
Scott Adams,Southpaw,,1.0,189.0,SUB Heel Hook,72.0,225.0,1.83,102.06
Juan Adams,Orthodox,0.6666666666666666,1.8,155.0,KO/TKO Punches,77.0,265.0,1.96,120.2
Anthony Adams,Orthodox,0.0,3.0,300.0,S-DEC,73.0,185.0,1.85,83.91
Zarrukh Adashev,Southpaw,0.3333333333333333,2.0,173.0,KO/TKO Punch,65.0,125.0,1.65,56.7
Israel Adesanya,Switch,4.333333333333333,3.75,271.0,U-DEC,76.0,185.0,1.93,83.91
Sam Adkins,Orthodox,1.0,1.25,101.0,KO/TKO Punches,75.0,225.0,1.91,102.06
Nick Agallar,Orthodox,0.0,2.0,134.0,KO/TKO Punch,68.0,155.0,1.73,70.31
Mariya Agapova,Southpaw,0.5,2.1666666666666665,159.0,SUB Rear Naked Choke,66.0,125.0,1.68,56.7
Marcelo Aguiar,Orthodox,0.0,1.0,274.0,KO/TKO,70.0,170.0,1.78,77.11
Fabio Aguiar,,,,,None,72.0,185.0,1.83,83.91
Edwin Aguilar,,0.0,1.0,163.0,KO/TKO,70.0,185.0,1.78,83.91
Jessica Aguilar,Orthodox,0.25,2.6,284.0,U-DEC,63.0,115.0,1.6,52.16
Kevin Aguilar,Orthodox,0.75,2.7142857142857144,285.0,U-DEC,67.0,155.0,1.7,70.31
Christian Aguilera,Switch,0.5,1.3333333333333333,112.0,SUB Anaconda Choke,69.0,170.0,1.75,77.11
Mike Aina,Orthodox,0.0,5.0,522.0,Overturned,69.0,155.0,1.75,70.31
Hitomi Akano,Southpaw,0.3333333333333333,2.75,155.0,U-DEC,64.0,135.0,1.63,61.23
